Type,Drugname,Strength,Pellet Size(mm)
Wellness Health,Estradiol Pellet (Coming soon),6 mg,(3mm)
Wellness Health,Estradiol Pellet (Coming soon),12.5 mg,(3mm)
Wellness Health,Estradiol Pellet (Coming soon),25 mg,(3mm)
Wellness Health,Progesterone Pellet (Coming soon),50 mg,(3mm)
Wellness Health,Progesterone Pellet (Coming soon),50 mg,(3mm)
Wellness Health,Testosterone (Coming soon),25 mg,(3mm)
Wellness Health,Testosterone (Coming soon),50 mg,(3mm)
Wellness Health,Testosterone (Coming soon),100 mg,(3mm)
Wellness Health,Testosterone (Coming soon),200 mg,(4.5mm)
Wellness Health,Testosterone / Anastrozole Pellet (Coming soon),75 mg / 4 mg,(3mm)
Wellness Health,Testosterone / Anastrozole Pellet (Coming soon),100 mg / 4 mg,"
(3mm)"
Wellness Health,Testosterone / Anastrozole Pellet (Coming soon),200 mg / 20 mg,"
(4.5mm)"
Wellness Health,Nandrolone Decanoate (Coming soon),200 mg/mL,5 mL
Wellness Health,Testosterone Cypionate in Grapeseed Oil,200 mg / mL,10 mL
Wellness Health,Testosterone Cypionate in Grapeseed Oil,200 mg / mL,30 mL
Wellness Health,Testosterone  Cypionate / Propionate,200 mg / 10mg / mL,30 mL
Wellness Health,Testosterone Propionate in Grapeseed Oil,100 mg / mL,10 mL
Erectile Dysfunction,Bi-Mix (Papaverine/Phentolamine) (Coming soon),30/1 mg/mL,5 mL
Erectile Dysfunction,Tri-Mix (Papaverine/Phentolamine/Alprostadil) (Coming soon),30/1/10 mcg/mL,5 mL
Erectile Dysfunction,Super Tri-Mix (Papaverine/Phentolamine/Alprostadil) (Coming soon),30/2/20 mcg/mL,5 mL
Erectile Dysfunction,Quad-Mix (Papaverine/Phentolamine/Alprostadil/Atropine) (Coming soon),30/2/20/200 mcg/mL,5 mL
Erectile Dysfunction,Super Quad(Papaverine/Phentolamine/Alprostadil/Atropine) (Coming soon),30/4/40/400 mcg/mL,5 mL
IV Nutrition,Ascorbic Acid,500 mg/mL,50 mL MDV
IV Nutrition,B-Complex (B1/B2/B3/B5/B6),100/2/100/2/2 mg/mL,30 mL MDV
IV Nutrition,Dexpanthenol,250 mg/mL,30 mL MDV
IV Nutrition,Glutathione,200 mg/mL,30 mL MDV
IV Nutrition,L-Arginine,200 mg/mL,30 mL MDV
IV Nutrition,L-Carnitine (Coming soon),250 mg/mL,30 mL MDV
IV Nutrition,Methylcobalamin,1 mg/mL,30 mL MDV
IV Nutrition,Myers Cocktail Ingredients,Contact Us,Contact Us
IV Nutrition,Pyridoxine HCl,100 mg/mL,30 mL MDV
IV Nutrition,Taurine,50 mg/mL,30 mL MDV
IV Nutrition,Zinc (Sulfate),2.5 mg/mL,30 mL MDV
Weight Management,Methionine / Inositol / Choline chloride  (MIC),25 / 50 / 50 mg / mL,30 mL MDV
Steoids/Intra-Articular Injections,Methylprednisolone Acetate,40 mg/mL,10 mL MDV
Steoids/Intra-Articular Injections,Methylprednisolone Acetate,80 mg/mL,5 mL MDV
Steoids/Intra-Articular Injections,Triamcinolone Acetate,40 mg/mL,10 mL MDV
Steoids/Intra-Articular Injections,Hyaluronic acid,11 mg/mL,2 mL PF Syringe
Opthalmology,Bevacizumab (Repackaged),25 mg/mL,0.1 mL PF Syringe
Opthalmology,Moxifloxacin,5 mg/mL,1 mL SDV
Opthalmology,Tropicamide / Phenylephrine,1% / 5%,12 mL Dropper
Pain Management,IV BAGS,,
Pain Management,Fentanyl Citrate,10 mcg / 1mL NS,100 mL IV Bag
Pain Management,Morphine Sulfate,1 mg / 1 mL D5W,100 mL IV Bag
Pain Management,Midazolam,1 mg / 1 mL NS,100 mL IV Bag
Pain Management,PAIN PUMPS,,
